V	A	N	T	M
R	M	2000	0.00	1092
R	M	4000	0.00	1092
R	M	8000	0.00	1736
R	M	16000	0.00	1744
R	M	32000	0.01	2000
R	M	64000	0.01	2528
R	M	128000	0.03	3584
R	M	256000	0.05	5432
R	M	512000	0.11	9392
R	M	1024000	0.23	17576
R	M	2048000	0.47	33416
R	M	4096000	0.97	65360
R	M	8192000	2.08	129512
R	M	16384000	4.31	257516
R	M	32768000	8.96	513556
R	M	65536000	17.97	1025636
R	M	131072000	37.18	2049532
R	M	262144000	76.45	4097588

