V	A	N	T	M
R	H	2000	0.00	1076
R	H	4000	0.00	1076
R	H	8000	0.00	1076
R	H	16000	0.00	1880
R	H	32000	0.01	2020
R	H	64000	0.02	2548
R	H	128000	0.03	3604
R	H	256000	0.07	5716
R	H	512000	0.15	9676
R	H	1024000	0.34	17596
R	H	2048000	0.78	33700
R	H	4096000	1.84	65644
R	H	8192000	4.30	129524
R	H	16384000	10.16	257572
R	H	32768000	23.61	513652
R	H	65536000	54.05	1025548
R	H	131072000	122.60	2049604
R	H	262144000	277.19	4097716

