V	A	N	T	M
D	Q	2000	0.00	1064
D	Q	4000	0.00	1064
D	Q	8000	0.00	1064
D	Q	16000	0.00	1064
D	Q	32000	0.00	1884
D	Q	64000	0.01	2068
D	Q	128000	0.01	2596
D	Q	256000	0.01	3652
D	Q	512000	0.02	5764
D	Q	1024000	0.04	9724
D	Q	2048000	0.09	17644
D	Q	4096000	0.18	33748
D	Q	8192000	0.38	65692
D	Q	16384000	0.78	129580
D	Q	32768000	1.61	257620
D	Q	65536000	3.35	513700
D	Q	131072000	6.95	1025596
D	Q	262144000	14.42	2049652
D	Q	524288000	29.90	4097764

