V	A	N	T	M
D	S	2000	0.00	1916
D	S	4000	0.00	1916
D	S	8000	0.00	1916
D	S	16000	0.00	1916
D	S	32000	0.00	1916
D	S	64000	0.00	1996
D	S	128000	0.01	2524
D	S	256000	0.02	3580
D	S	512000	0.03	5692
D	S	1024000	0.07	9652
D	S	2048000	0.14	17572
D	S	4096000	0.29	33676
D	S	8192000	0.59	65620
D	S	16384000	1.29	129508
D	S	32768000	2.53	257548
D	S	65536000	5.58	513628
D	S	131072000	11.56	1025524
D	S	262144000	23.11	2049580
D	S	524288000	48.94	4097692
