V	A	N	T	M
A	H	2000	0.00	1104
A	H	4000	0.00	1104
A	H	8000	0.01	1104
A	H	16000	0.02	1920
A	H	32000	0.02	2060
A	H	64000	0.02	2588
A	H	128000	0.03	3644
A	H	256000	0.07	5756
A	H	512000	0.14	9716
A	H	1024000	0.31	17636
A	H	2048000	0.64	33740
A	H	4096000	1.27	65684
A	H	8192000	2.63	129572
A	H	16384000	5.47	257612
A	H	32768000	11.41	513692
A	H	65536000	23.86	1025588
A	H	131072000	49.74	2049644
A	H	262144000	104.00	4097756

