V	A	N	T	M
A	M	2000	0.00	1244
A	M	4000	0.00	1244
A	M	8000	0.00	1892
A	M	16000	0.00	1900
A	M	32000	0.00	2156
A	M	64000	0.01	2684
A	M	128000	0.02	3740
A	M	256000	0.03	5588
A	M	512000	0.07	9548
A	M	1024000	0.13	17732
A	M	2048000	0.28	33572
A	M	4096000	0.57	65516
A	M	8192000	1.17	129668
A	M	16384000	2.55	257672
A	M	32768000	5.61	513712
A	M	65536000	10.86	1025792
A	M	131072000	22.32	2049688
A	M	262144000	48.10	4097744

