V	A	N	T	M
A	S	2000	0.00	1916
A	S	4000	0.00	1916
A	S	8000	0.00	1916
A	S	16000	0.00	1916
A	S	32000	0.00	1916
A	S	64000	0.00	1956
A	S	128000	0.01	2484
A	S	256000	0.01	3540
A	S	512000	0.02	5652
A	S	1024000	0.04	9612
A	S	2048000	0.10	17532
A	S	4096000	0.20	33636
A	S	8192000	0.43	65580
A	S	16384000	0.91	129468
A	S	32768000	1.90	257508
A	S	65536000	3.92	513588
A	S	131072000	8.15	1025484
A	S	262144000	16.52	2049540
A	S	524288000	35.23	4097652
