V	A	N	T	M
R	Q	2000	0.00	1064
R	Q	4000	0.00	1064
R	Q	8000	0.00	1064
R	Q	16000	0.00	1064
R	Q	32000	0.01	1968
R	Q	64000	0.01	2160
R	Q	128000	0.02	2688
R	Q	256000	0.04	3744
R	Q	512000	0.07	5856
R	Q	1024000	0.16	9816
R	Q	2048000	0.34	17736
R	Q	4096000	0.68	33840
R	Q	8192000	1.40	65784
R	Q	16384000	2.88	129672
R	Q	32768000	5.99	257712
R	Q	65536000	12.44	513792
R	Q	131072000	30.13	1025688
R	Q	262144000	54.81	2049744
R	Q	524288000	110.66	4097856

