V	A	N	T	M
R	S	2000	0.00	1588
R	S	4000	0.00	1588
R	S	8000	0.00	1588
R	S	16000	0.00	1588
R	S	32000	0.01	1864
R	S	64000	0.02	2044
R	S	128000	0.03	2572
R	S	256000	0.07	3628
R	S	512000	0.15	5740
R	S	1024000	0.31	9700
R	S	2048000	0.78	17620
R	S	4096000	1.54	33724
R	S	8192000	3.66	65668
R	S	16384000	7.54	129556
R	S	32768000	18.94	257596
R	S	65536000	41.10	513676
R	S	131072000	97.55	1025572
R	S	262144000	234.09	2049628
R	S	524288000	565.23	4097740

