V	A	N	T	M
A	Q	2000	0.00	1064
A	Q	4000	0.00	1064
A	Q	8000	0.00	1064
A	Q	16000	0.00	1064
A	Q	32000	0.00	1960
A	Q	64000	0.00	2152
A	Q	128000	0.01	2680
A	Q	256000	0.01	3736
A	Q	512000	0.02	5848
A	Q	1024000	0.04	9808
A	Q	2048000	0.08	17728
A	Q	4096000	0.18	33832
A	Q	8192000	0.37	65776
A	Q	16384000	0.77	129664
A	Q	32768000	1.60	257704
A	Q	65536000	4.25	513784
A	Q	131072000	6.84	1025680
A	Q	262144000	14.17	2049736
A	Q	524288000	29.39	4097848

