V	A	N	T	M
D	H	2000	0.00	1228
D	H	4000	0.00	1228
D	H	8000	0.01	1228
D	H	16000	0.01	1848
D	H	32000	0.01	1988
D	H	64000	0.02	2516
D	H	128000	0.02	3572
D	H	256000	0.05	5684
D	H	512000	0.11	9644
D	H	1024000	0.23	17564
D	H	2048000	0.47	33668
D	H	4096000	0.97	65612
D	H	8192000	1.98	129500
D	H	16384000	4.15	257540
D	H	32768000	8.61	513620
D	H	65536000	18.07	1025516
D	H	131072000	37.62	2049572
D	H	262144000	78.68	4097684

